year,month,day,hour,season,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,Airlevel,cbwd_new
2013,1,3,11,4,67,-3,60.25,1034,4,NE,10,0,0,2,5
2013,1,3,12,4,67,-4,55.91,1033,4,NE,14,0,0,2,5
2013,1,3,13,4,57,-4,55.91,1031,4,NE,18,0,0,2,5
2013,1,3,14,4,68,-5,51.84,1029,4,NE,23,0,0,2,5
2013,1,3,15,4,70,-5,51.84,1028,4,NE,28,0,0,2,5
2013,1,3,16,4,75,-3,64.66,1027,3,NE,32,0,0,2,5
2013,1,3,17,4,75,-2,69.64,1027,3,NE,35,0,0,2,5
2013,1,3,18,4,72,-2,69.64,1028,3,NE,38,0,0,2,5
2013,1,3,19,4,78,-2,69.64,1028,3,NE,41,0,0,3,5
2013,1,3,20,4,69,0,86.58,1029,2,NE,43,0,0,2,5
2013,1,3,21,4,94,0,86.58,1029,2,NW,2,0,0,3,5
2013,1,3,22,4,100,0,86.58,1029,2,cv,1,0,0,3,5
2013,1,3,23,4,99,0,86.58,1030,2,NW,2,0,0,3,5
2013,1,4,0,4,89,0,93.02,1029,1,cv,1,0,0,3,5
2013,1,4,1,4,96,0,86.58,1028,2,cv,2,0,0,3,5
2013,1,4,2,4,94,0,86.58,1028,2,NW,2,0,0,3,5
2013,1,4,3,4,100,0,86.58,1027,2,cv,1,0,0,3,5
2013,1,4,4,4,96,0,86.58,1027,2,cv,2,0,0,3,5
2013,1,4,5,4,95,0,86.58,1026,2,cv,3,0,0,3,5
2013,1,4,6,4,101,0,86.58,1026,2,cv,4,0,0,3,5
2013,1,4,7,4,100,0,86.58,1026,2,cv,5,0,0,3,5
2013,1,4,8,4,103,0,86.58,1026,2,cv,6,0,0,3,5
2013,1,4,9,4,118,0,86.58,1026,2,NW,1,0,0,4,5
2013,1,4,10,4,128,0,86.58,1026,2,cv,1,0,0,4,5
2013,1,4,11,4,140,0,80.63,1026,3,cv,2,0,0,4,5
2013,1,4,12,4,149,0,80.63,1025,3,cv,3,0,0,4,5
2013,1,4,13,4,146,1,86.68,1023,3,cv,4,0,0,4,5
2013,1,4,14,4,140,1,86.68,1022,3,SE,2,0,0,4,5
2013,1,4,15,4,158,1,93.08,1021,2,SE,4,0,0,5,5
2013,1,4,16,4,131,1,93.08,1020,2,SE,6,0,0,4,5
2013,1,4,17,4,117,1,86.68,1020,3,cv,1,0,0,4,5
2013,1,4,18,4,100,1,86.68,1021,3,cv,2,0,0,3,5
2013,1,4,19,4,73,1,86.68,1022,3,cv,3,0,0,2,5
2013,1,4,20,4,66,1,86.68,1023,3,NW,1,0,0,2,5
2013,1,4,21,4,64,1,86.68,1023,3,cv,2,0,0,2,5
2013,1,4,22,4,65,1,86.68,1023,3,NW,2,0,0,2,5
2013,1,4,23,4,62,1,86.68,1024,3,NE,2,0,0,2,5
2013,1,5,0,4,58,1,86.68,1024,3,cv,1,0,0,2,5
2013,1,5,1,4,62,1,86.68,1023,3,NE,2,0,0,2,5
2013,1,5,2,4,60,1,93.08,1023,2,cv,1,0,0,2,5
2013,1,5,3,4,80,2,100,1023,2,cv,2,0,0,3,5
2013,1,5,4,4,105,1,93.08,1023,2,cv,3,0,0,3,5
2013,1,5,5,4,92,1,93.08,1022,2,cv,4,0,0,3,5
2013,1,5,8,4,96,1,93.08,1023,2,NW,1,0.1,0.2,3,5
2013,1,5,10,4,133,1,93.08,1024,2,NW,2,0.1,0.4,4,5
2013,1,5,11,4,160,2,93.13,1024,3,cv,1,0.1,0.5,5,5
2013,1,5,12,4,135,1,86.68,1023,3,NW,2,0,0,4,5
2013,1,5,13,4,123,1,86.68,1022,3,NW,4,0.2,0.2,4,5
2013,1,5,14,4,112,1,86.68,1022,3,NW,5,0.1,0.3,3,5
2013,1,5,15,4,117,1,86.68,1021,3,NE,2,0,0,4,5
2013,1,5,16,4,135,1,86.68,1021,3,NW,1,0,0,4,5
2013,1,5,17,4,124,1,80.78,1021,4,cv,1,0,0,4,5
2013,1,5,18,4,115,0,75.14,1023,4,NE,2,0,0,3,5
2013,1,5,19,4,120,1,80.78,1024,4,SE,2,0,0,4,5
2013,1,5,20,4,130,2,86.79,1025,4,cv,1,0,0,4,5
2013,1,5,21,4,135,1,93.08,1026,2,SW,1,0,0,4,5
2013,1,5,22,4,155,2,93.13,1026,3,cv,0,0,0,5,5
2013,1,6,8,4,130,-2,100,1024,-2,cv,1,0,0,4,5
2013,1,6,9,4,148,-1,100,1025,-1,cv,1,0,0,4,5
2013,1,6,10,4,180,-1,100,1026,-1,SW,2,0,0,5,5
2013,1,6,11,4,158,0,100,1025,0,cv,0,0,0,5,5
2013,1,6,12,4,169,2,100,1024,2,cv,1,0,0,5,5
2013,1,6,13,4,126,4,93.24,1023,5,cv,2,0,0,4,5
2013,1,6,14,4,118,0,65.36,1021,6,cv,3,0,0,4,5
2013,1,6,15,4,117,-1,56.72,1020,7,SE,2,0,0,4,5
2013,1,6,16,4,75,-1,60.76,1020,6,NE,3,0,0,2,5
2013,1,6,17,4,86,0,70.06,1021,5,NE,8,0,0,3,5
2013,1,6,18,4,108,-1,65.13,1022,5,NE,10,0,0,3,5
2013,1,6,19,4,99,-1,74.96,1023,3,cv,1,0,0,3,5
2013,1,6,20,4,103,0,75.14,1023,4,cv,2,0,0,3,5
2013,1,6,21,4,118,1,80.78,1024,4,cv,3,0,0,4,5
2013,1,6,22,4,139,1,86.68,1025,3,cv,4,0,0,4,5
2013,1,6,23,4,143,1,100,1025,1,cv,5,0,0,4,5
2013,1,7,1,4,174,0,100,1025,0,SW,2,0,0,5,5
2013,1,7,2,4,189,0,100,1024,0,SW,4,0,0,5,5
2013,1,7,3,4,183,0,93.02,1024,1,SW,6,0,0,5,5
2013,1,7,4,4,149,-1,92.96,1023,0,SW,7,0,0,4,5
2013,1,7,5,4,156,0,100,1023,0,SE,2,0,0,5,5
2013,1,7,6,4,157,-2,100,1023,-2,cv,1,0,0,5,5
2013,1,7,7,4,155,-2,100,1023,-2,SE,1,0,0,5,5
2013,1,7,8,4,174,-1,100,1023,-1,cv,0,0,0,5,5
2013,1,7,9,4,175,-1,100,1024,-1,SE,1,0,0,5,5
2013,1,7,12,4,194,1,93.08,1023,2,SE,2,0,0,5,5
2013,1,7,13,4,178,3,93.19,1021,4,cv,2,0,0,5,5
2013,1,7,14,4,164,3,81.06,1019,6,SE,2,0,0,5,5
2013,1,7,15,4,133,-1,52.98,1019,8,cv,1,0,0,4,5
2013,1,7,16,4,137,-1,52.98,1018,8,SE,2,0,0,4,5
2013,1,7,17,4,148,-1,52.98,1019,8,cv,2,0,0,4,5
2013,1,7,18,4,143,0,61.01,1019,7,SE,2,0,0,4,5
2013,1,7,20,4,133,0,70.06,1021,5,SW,2,0,0,4,5
2013,1,7,21,4,143,1,86.68,1022,3,cv,0,0,0,4,5
2013,1,7,22,4,151,0,80.63,1022,3,cv,1,0,0,5,5
2013,1,7,23,4,169,0,86.58,1023,2,cv,2,0,0,5,5
2013,1,8,0,4,191,0,93.02,1024,1,cv,2,0,0,5,5
2013,1,8,2,4,221,1,100,1024,1,cv,0,0,0,5,5
2013,1,8,3,4,206,1,100,1023,1,SW,1,0,0,5,5
2013,1,8,4,4,219,0,100,1023,0,SW,2,0,0,5,5
2013,1,8,5,4,227,-1,100,1023,-1,SW,3,0,0,5,5
2013,1,8,6,4,236,-1,100,1023,-1,SW,4,0,0,5,5
2013,1,8,12,4,171,2,75.49,1025,6,SW,2,0,0,5,5
2013,1,8,13,4,196,0,56.99,1024,8,cv,1,0,0,5,5
2013,1,8,14,4,182,0,53.26,1023,9,cv,3,0,0,5,5
2013,1,8,15,4,156,-1,49.51,1022,9,SW,2,0,0,5,5
2013,1,8,16,4,143,-1,46.29,1022,10,cv,1,0,0,4,5
2013,1,8,18,4,158,-1,56.72,1023,7,cv,0,0,0,5,5
2013,1,8,19,4,174,-1,65.13,1024,5,SW,1,0,0,5,5
2013,1,8,20,4,162,2,86.79,1026,4,NW,1,0,0,5,5
2013,1,8,21,4,180,0,70.06,1027,5,cv,0,0,0,5,5
2013,1,8,22,4,180,2,80.92,1027,5,cv,0,0,0,5,5
2013,1,8,23,4,186,2,80.92,1028,5,cv,0,0,0,5,5
2013,1,9,0,4,193,3,93.19,1028,4,cv,0,0,0,5,5
2013,1,9,1,4,209,2,86.79,1028,4,SW,1,0,0,5,5
2013,1,9,2,4,220,2,86.79,1028,4,cv,1,0,0,5,5
2013,1,9,3,4,227,2,86.79,1028,4,cv,1,0,0,5,5
2013,1,9,5,4,225,1,100,1027,1,cv,2,0,0,5,5
2013,1,9,6,4,227,0,93.02,1026,1,NE,1,0,0,5,5
2013,1,9,7,4,219,0,100,1026,0,cv,0,0,0,5,5
2013,1,9,9,4,247,0,100,1027,0,SW,3,0,0,5,5
2013,1,9,11,4,280,4,93.24,1027,5,cv,0,0,0,6,5
2013,1,9,13,4,190,1,57.25,1024,9,SE,4,0,0,5,5
2013,1,9,15,4,143,-1,46.29,1022,10,cv,2,0,0,4,5
2013,1,9,16,4,145,-1,46.29,1022,10,NE,2,0,0,4,5
2013,1,9,19,4,137,-1,52.98,1023,8,NE,5,0,0,4,5
2013,1,9,20,4,140,-1,56.72,1024,7,NE,7,0,0,4,5
2013,1,9,21,4,143,-1,56.72,1025,7,NE,9,0,0,4,5
2013,1,9,22,4,145,-1,56.72,1025,7,NE,11,0,0,4,5
2013,1,9,23,4,139,0,61.01,1026,7,NE,14,0,0,4,5
2013,1,10,0,4,140,1,75.32,1026,5,NW,1,0,0,4,5
2013,1,10,1,4,159,1,75.32,1026,5,cv,1,0,0,5,5
2013,1,10,2,4,174,3,86.89,1025,5,cv,2,0,0,5,5
2013,1,10,3,4,169,3,86.89,1025,5,NW,1,0,0,5,5
2013,1,10,4,4,162,3,86.89,1024,5,NW,2,0,0,5,5
2013,1,10,5,4,178,3,93.19,1023,4,NE,1,0,0,5,5
2013,1,10,6,4,207,2,80.92,1023,5,cv,1,0,0,5,5
2013,1,10,8,4,176,2,80.92,1024,5,cv,3,0,0,5,5
2013,1,10,9,4,172,3,86.89,1024,5,cv,3,0,0,5,5
2013,1,10,10,4,170,3,86.89,1025,5,SW,1,0,0,5,5
2013,1,10,11,4,179,4,93.24,1026,5,cv,0,0,0,5,5
2013,1,10,12,4,228,4,93.24,1025,5,cv,1,0,0,5,5
2013,1,10,13,4,254,4,86.99,1024,6,NW,2,0,0,6,5
2013,1,10,15,4,229,3,75.67,1022,7,NW,6,0.1,0.1,5,5
2013,1,10,16,4,225,3,81.06,1022,6,NW,8,0,0,5,5
2013,1,10,17,4,222,3,81.06,1022,6,NW,10,0,0,5,5
2013,1,10,18,4,209,4,93.24,1023,5,NW,13,0,0,5,5
2013,1,10,19,4,194,3,86.89,1024,5,NW,15,0,0,5,5
2013,1,10,21,4,189,3,93.19,1025,4,cv,1,0,0,5,5
2013,1,10,22,4,183,3,93.19,1026,4,cv,2,0,0,5,5
2013,1,10,23,4,184,3,93.19,1026,4,cv,3,0,0,5,5
2013,1,11,0,4,208,3,93.19,1026,4,cv,4,0,0,5,5
2013,1,11,1,4,219,2,93.13,1026,3,SW,1,0,0,5,5
2013,1,11,8,4,248,2,100,1027,2,cv,1,0,0,5,5
2013,1,11,9,4,255,3,100,1028,3,cv,1,0,0,6,5
2013,1,11,12,4,355,4,86.99,1028,6,cv,2,0,0,6,5
2013,1,11,13,4,327,2,65.82,1027,8,cv,3,0,0,6,5
2013,1,11,14,4,293,1,57.25,1025,9,cv,4,0,0,6,5
2013,1,11,15,4,255,1,57.25,1024,9,SW,2,0,0,6,5
2013,1,11,17,4,232,1,57.25,1025,9,SW,7,0,0,5,5
2013,1,11,18,4,227,1,65.59,1025,7,SW,9,0,0,5,5
2013,1,11,19,4,228,1,65.59,1026,7,SW,11,0,0,5,5
2013,1,11,20,4,251,1,70.27,1027,6,SW,12,0,0,6,5
2013,1,11,21,4,263,1,70.27,1027,6,SW,13,0,0,6,5
2013,1,11,22,4,256,3,86.89,1027,5,SW,14,0,0,6,5
2013,1,11,23,4,262,2,86.79,1027,4,SW,15,0,0,6,5
2013,1,12,0,4,247,2,93.13,1027,3,SW,16,0,0,5,5
2013,1,12,1,4,246,2,86.79,1027,4,SW,17,0,0,5,5
2013,1,12,2,4,271,2,86.79,1027,4,SE,2,0,0,6,5
2013,1,12,3,4,281,3,93.19,1026,4,SE,4,0,0,6,5
2013,1,12,4,4,278,1,93.08,1025,2,cv,0,0,0,6,5
2013,1,12,5,4,281,1,100,1025,1,NW,1,0,0,6,5
2013,1,12,6,4,280,0,100,1024,0,NW,2,0,0,6,5
2013,1,12,9,4,299,1,100,1024,1,cv,1,0,0,6,5
2013,1,12,10,4,309,4,100,1025,4,cv,1,0,0,6,5
2013,1,12,11,4,297,4,93.24,1025,5,cv,2,0,0,6,5
2013,1,12,12,4,338,2,65.82,1023,8,NE,1,0,0,6,5
2013,1,12,13,4,409,2,61.51,1021,9,cv,1,0,0,6,5
2013,1,12,14,4,387,1,53.53,1019,10,cv,3,0,0,6,5
2013,1,12,15,4,371,1,53.53,1018,10,NE,2,0,0,6,5
2013,1,12,16,4,298,1,53.53,1018,10,NE,5,0,0,6,5
2013,1,12,17,4,265,1,53.53,1018,10,NE,8,0,0,6,5
2013,1,12,19,4,276,1,70.27,1020,6,NW,2,0,0,6,5
2013,1,12,20,4,296,2,75.49,1020,6,NW,4,0,0,6,5
2013,1,12,21,4,302,3,81.06,1021,6,cv,1,0,0,6,5
2013,1,12,22,4,323,3,86.89,1021,5,NW,1,0,0,6,5
2013,1,12,23,4,324,2,86.79,1021,4,NW,2,0,0,6,5
2013,1,13,1,4,320,2,100,1020,2,cv,0,0,0,6,5
2013,1,13,2,4,323,2,100,1020,2,NW,1,0,0,6,5
2013,1,13,3,4,351,3,100,1020,3,NW,3,0,0,6,5
2013,1,13,4,4,340,3,93.19,1020,4,cv,1,0,0,6,5
2013,1,13,5,4,354,3,100,1019,3,cv,1,0,0,6,5
2013,1,13,6,4,330,3,93.19,1018,4,cv,1,0,0,6,5
2013,1,13,7,4,333,3,93.19,1018,4,cv,1,0,0,6,5
2013,1,13,8,4,341,3,93.19,1019,4,SW,1,0,0,6,5
2013,1,13,9,4,324,4,100,1019,4,SW,2,0,0,6,5
2013,1,13,10,4,283,4,93.24,1020,5,SW,3,0,0,6,5
2013,1,13,11,4,301,4,86.99,1020,6,cv,0,0,0,6,5
2013,1,13,12,4,291,4,81.2,1019,7,cv,1,0,0,6,5
2013,1,13,14,4,290,2,65.82,1017,8,NE,4,0,0,6,5
2013,1,13,15,4,277,2,65.82,1017,8,cv,1,0,0,6,5
2013,1,13,16,4,305,2,65.82,1018,8,NW,3,0,0,6,5
2013,1,13,17,4,290,2,70.47,1019,7,NW,6,0,0,6,5
2013,1,13,18,4,286,2,70.47,1019,7,NW,9,0,0,6,5
2013,1,13,19,4,291,2,70.47,1020,7,NW,11,0,0,6,5
2013,1,13,21,4,230,2,75.49,1023,6,NW,2,0,0,5,5
2013,1,13,22,4,206,2,75.49,1023,6,cv,1,0,0,5,5
2013,1,13,23,4,203,1,70.27,1023,6,NW,1,0,0,5,5
2013,1,14,0,4,205,1,75.32,1023,5,cv,0,0,0,5,5
2013,1,14,1,4,197,2,86.79,1023,4,cv,0,0,0,5,5
2013,1,14,2,4,217,3,93.19,1023,4,cv,1,0,0,5,5
2013,1,14,3,4,256,2,86.79,1022,4,cv,2,0,0,6,5
2013,1,14,4,4,244,3,93.19,1022,4,cv,3,0,0,5,5
2013,1,14,5,4,235,3,93.19,1021,4,NW,2,0,0,5,5
2013,1,14,6,4,243,3,93.19,1021,4,cv,1,0,0,5,5
2013,1,14,8,4,271,3,86.89,1022,5,SW,1,0,0,6,5
2013,1,14,9,4,276,3,86.89,1022,5,cv,1,0,0,6,5
2013,1,14,10,4,262,3,86.89,1022,5,cv,2,0,0,6,5
2013,1,14,11,4,251,3,81.06,1022,6,cv,3,0,0,6,5
2013,1,14,12,4,257,3,75.67,1021,7,cv,3,0,0,6,5
2013,1,14,13,4,288,3,75.67,1019,7,SW,1,0,0,6,5
2013,1,14,14,4,315,3,70.67,1018,8,cv,1,0,0,6,5
2013,1,14,15,4,289,2,65.82,1017,8,cv,1,0,0,6,5
2013,1,14,16,4,284,2,65.82,1017,8,cv,1,0,0,6,5
2013,1,14,17,4,344,2,65.82,1018,8,NE,2,0,0,6,5
2013,1,14,18,4,341,2,65.82,1019,8,NE,4,0,0,6,5
2013,1,14,19,4,292,3,75.67,1020,7,NE,6,0,0,6,5
2013,1,14,20,4,289,3,70.67,1021,8,NE,9,0,0,6,5
2013,1,14,21,4,368,3,75.67,1022,7,NW,1,0,0,6,5
2013,1,14,22,4,337,3,75.67,1023,7,cv,1,0,0,6,5
2013,1,15,2,4,317,3,86.89,1025,5,SW,1,0,0,6,5
2013,1,15,3,4,303,4,86.99,1025,6,SW,2,0,0,6,5
2013,1,15,4,4,297,3,93.19,1025,4,cv,0,0,0,6,5
2013,1,15,5,4,302,3,93.19,1024,4,cv,0,0,0,6,5
2013,1,15,6,4,306,3,93.19,1024,4,cv,0,0,0,6,5
2013,1,15,7,4,321,3,100,1024,3,SW,1,0,0,6,5
2013,1,15,9,4,374,3,100,1025,3,cv,1,0,0,6,5
2013,1,15,10,4,389,5,93.29,1025,6,cv,2,0,0,6,5
2013,1,15,11,4,350,5,81.34,1025,8,cv,2,0,0,6,5
2013,1,15,12,4,302,3,61.76,1024,10,cv,3,0,0,6,5
2013,1,15,13,4,187,0,43.6,1022,12,NE,2,0,0,5,5
2013,1,15,14,4,179,0,40.84,1021,13,cv,2,0,0,5,5
2013,1,15,17,4,99,-3,32.75,1020,13,SE,3,0,0,3,5
2013,1,15,18,4,103,-2,37.66,1021,12,SE,5,0,0,3,5
2013,1,15,19,4,124,-1,49.51,1022,9,cv,1,0,0,4,5
2013,1,15,21,4,175,0,56.99,1023,8,SE,2,0,0,5,5
2013,1,15,22,4,185,1,61.26,1023,8,cv,1,0,0,5,5
2013,1,15,23,4,173,2,65.82,1023,8,SE,2,0,0,5,5
2013,1,16,0,4,161,2,65.82,1023,8,SE,4,0,0,5,5
2013,1,16,1,4,145,2,65.82,1023,8,cv,1,0,0,4,5
2013,1,16,2,4,154,2,70.47,1023,7,NE,2,0,0,5,5
2013,1,16,3,4,171,2,70.47,1023,7,NW,1,0,0,5,5
2013,1,16,4,4,192,3,75.67,1023,7,NW,2,0,0,5,5
2013,1,16,5,4,205,4,86.99,1023,6,NW,3,0,0,5,5
2013,1,16,6,4,194,3,75.67,1023,7,NW,4,0,0,5,5
2013,1,16,7,4,232,4,86.99,1024,6,NW,5,0,0,5,5
2013,1,16,8,4,242,4,86.99,1025,6,NW,6,0,0,5,5
2013,1,16,9,4,248,4,86.99,1026,6,NW,7,0,0,5,5
2013,1,16,10,4,257,4,81.2,1026,7,NW,9,0,0,6,5
2013,1,16,11,4,262,5,87.09,1027,7,NW,11,0,0,6,5
2013,1,16,12,4,263,5,81.34,1026,8,cv,1,0,0,6,5
2013,1,16,13,4,246,3,61.76,1025,10,cv,2,0,0,5,5
2013,1,16,14,4,230,3,57.77,1024,11,cv,3,0,0,5,5
2013,1,16,15,4,180,3,54.08,1023,12,cv,4,0,0,5,5
2013,1,16,16,4,150,2,50.36,1023,12,cv,5,0,0,4,5
2013,1,16,17,4,140,2,50.36,1024,12,cv,6,0,0,4,5
2013,1,16,18,4,158,3,61.76,1026,10,cv,7,0,0,5,5
2013,1,16,19,4,230,3,66.05,1027,9,SW,2,0,0,5,5
2013,1,16,20,4,257,3,70.67,1028,8,SW,4,0,0,6,5
2013,1,16,21,4,265,4,93.24,1029,5,cv,0,0,0,6,5
2013,1,16,22,4,289,3,86.89,1029,5,cv,1,0,0,6,5
2013,1,16,23,4,299,3,86.89,1030,5,cv,1,0,0,6,5
2013,1,17,0,4,316,3,93.19,1030,4,cv,1,0,0,6,5
2013,1,17,1,4,318,3,100,1030,3,cv,1,0,0,6,5
2013,1,17,2,4,316,3,93.19,1030,4,cv,1,0,0,6,5
2013,1,17,3,4,316,3,100,1030,3,cv,1,0,0,6,5
2013,1,17,4,4,301,2,100,1030,2,cv,1,0,0,6,5
2013,1,17,5,4,290,1,100,1029,1,NW,1,0,0,6,5
2013,1,17,6,4,292,2,100,1029,2,cv,0,0,0,6,5
2013,1,17,7,4,312,0,93.02,1030,1,SW,1,0,0,6,5
2013,1,17,8,4,349,0,100,1030,0,cv,1,0,0,6,5
2013,1,17,9,4,352,1,100,1032,1,cv,2,0,0,6,5
2013,1,17,10,4,378,2,93.13,1032,3,cv,3,0,0,6,5
2013,1,17,11,4,375,5,93.29,1033,6,cv,4,0,0,6,5
2013,1,17,12,4,345,6,81.48,1031,9,cv,5,0,0,6,5
2013,1,17,13,4,278,4,62,1030,11,cv,6,0,0,6,5
2013,1,17,14,4,227,4,54.35,1028,13,NE,2,0,0,5,5
2013,1,17,15,4,224,2,47.17,1027,13,cv,2,0,0,5,5
2013,1,17,16,4,213,1,43.9,1027,13,SE,2,0,0,5,5
2013,1,17,17,4,219,3,50.65,1027,13,SE,5,0,0,5,5
2013,1,17,18,4,258,3,57.77,1028,11,SE,8,0,0,6,5
2013,1,17,19,4,271,3,61.76,1029,10,SE,10,0,0,6,5
2013,1,17,20,4,281,4,66.27,1029,10,SE,12,0,0,6,5
2013,1,17,21,4,282,4,66.27,1030,10,cv,1,0,0,6,5
2013,1,17,22,4,269,4,70.88,1030,9,SE,2,0,0,6,5
2013,1,17,23,4,249,4,70.88,1030,9,SE,4,0,0,5,5
2013,1,18,0,4,243,6,81.48,1030,9,cv,0,0,0,5,5
2013,1,18,1,4,241,6,87.19,1030,8,cv,0,0,0,5,5
2013,1,18,2,4,243,6,87.19,1029,8,cv,0,0,0,5,5
2013,1,18,3,4,243,7,93.4,1029,8,cv,1,0,0,5,5
2013,1,18,4,4,249,6,87.19,1029,8,SE,2,0,0,5,5
2013,1,18,5,4,237,6,87.19,1028,8,SE,4,0,0,5,5
2013,1,18,6,4,226,6,93.35,1027,7,cv,1,0,0,5,5
2013,1,18,7,4,218,6,87.19,1028,8,SE,2,0,0,5,5
2013,1,18,8,4,218,6,87.19,1028,8,cv,1,0,0,5,5
2013,1,18,9,4,217,6,87.19,1028,8,cv,2,0,0,5,5
2013,1,18,10,4,229,6,87.19,1028,8,cv,3,0,0,5,5
2013,1,18,11,4,227,7,87.28,1028,9,cv,4,0,0,5,5
2013,1,18,12,4,225,7,87.28,1027,9,cv,5,0,0,5,5
2013,1,18,13,4,229,6,76.18,1025,10,cv,6,0,0,5,5
2013,1,18,14,4,260,6,76.18,1023,10,NW,2,0,0,6,5
2013,1,18,15,4,244,7,81.61,1022,10,cv,1,0,0,5,5
2013,1,18,16,4,276,7,81.61,1021,10,cv,2,0,0,6,5
2013,1,18,17,4,313,7,87.28,1021,9,NW,2,0,0,6,5
2013,1,18,18,4,306,7,87.28,1022,9,NW,4,0,0,6,5
2013,1,18,19,4,268,7,87.28,1023,9,cv,1,0,0,6,5
2013,1,18,20,4,217,7,93.4,1023,8,cv,2,0,0,5,5
2013,1,18,21,4,212,7,93.4,1023,8,cv,3,0,0,5,5
2013,1,18,22,4,220,6,87.19,1023,8,cv,4,0,0,5,5
2013,1,18,23,4,228,6,87.19,1022,8,cv,5,0,0,5,5
2013,1,19,0,4,218,6,87.19,1022,8,cv,6,0,0,5,5
2013,1,19,1,4,223,6,87.19,1021,8,NW,1,0,0,5,5
2013,1,19,2,4,228,6,93.35,1020,7,cv,1,0,0,5,5
2013,1,19,3,4,254,6,93.35,1019,7,NW,1,0,0,6,5
2013,1,19,4,4,228,6,93.35,1018,7,cv,1,0,0,5,5
2013,1,19,5,4,220,6,93.35,1017,7,cv,1,0,0,5,5
2013,1,19,6,4,212,6,93.35,1017,7,NW,1,0,0,5,5
2013,1,19,7,4,216,6,93.35,1017,7,cv,1,0,0,5,5
2013,1,19,8,4,216,6,93.35,1016,7,cv,2,0,0,5,5
2013,1,19,9,4,220,6,93.35,1016,7,NW,1,0,0,5,5
2013,1,19,10,4,236,6,93.35,1016,7,cv,1,0,0,5,5
2013,1,19,11,4,245,6,87.19,1016,8,cv,2,0,0,5,5
2013,1,19,12,4,246,7,93.4,1014,8,cv,3,0,0,5,5
2013,1,19,13,4,270,6,87.19,1012,8,NW,1,0,0,6,5
2013,1,19,14,4,291,7,93.4,1010,8,NW,3,0,0,6,5
2013,1,19,15,4,250,6,87.19,1009,8,NW,4,0,0,5,5
2013,1,19,16,4,218,6,87.19,1009,8,NW,5,0,0,5,5
